epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1537.71,0.61025,4.12696,1.19928,0.58597,0.18512,0.1588,0.14381,0.45933,3.63071,1.11992,5.3489e-05,5.3489e-05,5.3489e-05
2,2852.7,0.53051,2.7394,1.13647,0.87472,0.40675,0.54425,0.5021,0.40242,2.27082,1.06777,0.000105034,0.000105034,0.000105034
3,4167.3,0.48864,1.89935,1.09162,0.87595,0.62431,0.70555,0.64409,0.42986,1.74949,1.07258,0.000154454,0.000154454,0.000154454
4,5524.71,0.46125,1.5208,1.06107,0.83376,0.75587,0.80775,0.74917,0.39181,1.42262,1.03837,0.000151437,0.000151437,0.000151437
5,6845.78,0.4415,1.2717,1.04347,0.77909,0.80695,0.86102,0.78265,0.40518,1.17586,1.04811,0.000148249,0.000148249,0.000148249
6,8133.45,0.42747,1.14596,1.02786,0.83614,0.86464,0.89414,0.82008,0.37225,1.01601,1.01721,0.000145061,0.000145061,0.000145061
7,9355.13,0.41912,1.04962,1.02179,0.81302,0.88584,0.93124,0.85537,0.3624,0.90895,1.00529,0.000141873,0.000141873,0.000141873
8,10570.3,0.41098,0.98112,1.01774,0.8513,0.86857,0.92253,0.85559,0.35372,0.89274,1.00509,0.000138685,0.000138685,0.000138685
9,11790,0.39927,0.9205,1.00902,0.90591,0.86887,0.94198,0.87745,0.34325,0.80235,0.9869,0.000135498,0.000135498,0.000135498
10,13019.2,0.39724,0.87388,1.00423,0.84691,0.92266,0.96717,0.89972,0.34444,0.72789,0.99398,0.00013231,0.00013231,0.00013231
11,14240.2,0.38605,0.82163,0.99514,0.8454,0.95488,0.97159,0.90662,0.34872,0.68684,0.99734,0.000129122,0.000129122,0.000129122
12,15449.8,0.38386,0.80685,0.99485,0.87039,0.93639,0.97437,0.91418,0.34397,0.65799,0.98103,0.000125934,0.000125934,0.000125934
13,16660.6,0.3842,0.77384,0.99423,0.84426,0.95946,0.95862,0.89357,0.34416,0.63604,0.98067,0.000122746,0.000122746,0.000122746
14,17867.8,0.38185,0.7398,0.98948,0.92574,0.9281,0.97841,0.92684,0.33332,0.63281,0.97113,0.000119559,0.000119559,0.000119559
15,19070.6,0.37607,0.71332,0.98877,0.91982,0.94384,0.97571,0.92016,0.34066,0.58399,0.97975,0.000116371,0.000116371,0.000116371
16,20267.9,0.36891,0.6962,0.97901,0.87651,0.96435,0.97723,0.92143,0.33707,0.56233,0.97204,0.000113183,0.000113183,0.000113183
17,21472.9,0.36866,0.6737,0.97756,0.88109,0.96412,0.97938,0.92494,0.32273,0.53732,0.95705,0.000109995,0.000109995,0.000109995
18,22670.3,0.3647,0.65006,0.9753,0.89685,0.95769,0.98499,0.93333,0.32407,0.53314,0.95908,0.000106807,0.000106807,0.000106807
19,23866.4,0.36217,0.63534,0.97495,0.87668,0.95981,0.988,0.9306,0.33025,0.51128,0.97209,0.00010362,0.00010362,0.00010362
20,25063.7,0.36365,0.62849,0.97727,0.93236,0.95949,0.98369,0.93003,0.33166,0.48889,0.96187,0.000100432,0.000100432,0.000100432
21,26260.6,0.35638,0.6057,0.97491,0.93368,0.92984,0.98706,0.93643,0.31992,0.49005,0.95178,9.7244e-05,9.7244e-05,9.7244e-05
22,27458.3,0.35408,0.59543,0.97129,0.9125,0.9695,0.98976,0.93839,0.32949,0.46685,0.96424,9.40562e-05,9.40562e-05,9.40562e-05
23,28657.2,0.35256,0.5815,0.97534,0.92477,0.9564,0.99488,0.94231,0.32657,0.4576,0.9581,9.08684e-05,9.08684e-05,9.08684e-05
24,29855.7,0.34916,0.55879,0.96825,0.94698,0.95762,0.99406,0.94136,0.33121,0.43772,0.95947,8.76806e-05,8.76806e-05,8.76806e-05
25,31128.4,0.34467,0.55469,0.96684,0.95403,0.94678,0.99253,0.94297,0.32385,0.43781,0.95262,8.44928e-05,8.44928e-05,8.44928e-05
26,32332.5,0.34966,0.54376,0.96999,0.9382,0.93981,0.99214,0.94858,0.32232,0.43594,0.95369,8.1305e-05,8.1305e-05,8.1305e-05
27,33572.4,0.34134,0.52949,0.96373,0.93991,0.95745,0.99397,0.95014,0.3115,0.41263,0.94372,7.81172e-05,7.81172e-05,7.81172e-05
28,34979.7,0.34391,0.52041,0.96805,0.91831,0.94881,0.99264,0.94593,0.31502,0.40935,0.94952,7.49294e-05,7.49294e-05,7.49294e-05
29,36272.5,0.33578,0.50615,0.9577,0.95273,0.9555,0.99343,0.94252,0.31658,0.39832,0.95134,7.17416e-05,7.17416e-05,7.17416e-05
